playerName,match_name,score
T. Tomiyasu,Takehiro Tomiyasu,86
Zaidu,Zaidu Sanusi,90
N. Seiwald,Nicolas Seiwald,86
L. Klostermann,Lukas Klostermann,87
N. Paz,Irene Paredes,68
N. Boilesen,Nicolai Boilesen,85
Wendell,Wendell,100
Fábio Cardoso,Fábio Cardoso,100
I. Jaime,Iván Jaime,84
Y. Bisseck,Yann Aurel Bisseck,86
B. Meling,Birger Meling,82
S. Ortega,Stefan Ortega,82
A. Zanoli,Alessandro Zanoli,86
M. Darmian,Matteo Darmian,84
B. Henrichs,Benjamin Henrichs,86
Fran García,Fran García,100
Juan Jesus,Juan Jesus,100
A. Elustondo,Aritz Elustondo,86
Iñigo Martínez,Iñigo Martínez,100
N. Casale,Saúl,90
N. Rovella,Nicolò Rovella,84
V. Lund,Valdemar Lund,86
A. Bella-Kotchap,Armel Bella Kotchap,88
J. Sánchez,Jorge Sánchez,82
L. Pellegrini,Luca Pellegrini,86
N. Mukiele,Nordi Mukiele,84
A. Remiro,Álex Remiro,82
Patric,Patric,100
Sergio Gómez,Sergio Gómez,100
Nico González,Nico González,100
O. Højlund,Oscar Højlund,82
P. Ankersen,Peter Ankersen,85
David Carmo,David Carmo,100
Mario Gila,Mario Gila,100
Iñaki Peña,Iñaki Peña,100
F. Oppegård,Fredrik Oppegård,86
T. Smolenaars,Olasagasti,52
R. Tytens,Jamie Bynoe-Gittens,64
S. Esquivel,Tomás Sives,57
J. Boñar,Stanislav Lobotka,57
T. Schlieck,Timo Schlieck,85
J. Hillson,Leah Williamson,57
J. Drommel,Joël Drommel,86
Muhlis Dağaşan,Moha Moukhliss,54
Sergio Mestre,Sergio Mestre,100
Y. Gil Y Muinos,Mario Gila,60
G. Ayesa,Ayesa,90
E. Van De Blaak,Jan Oblak,58
R. El Meliani,El Chadaille Bitshiabu,86
A. Fraga,André-Franck Zambo Anguissa,61
F. González,Nico González,84
H. Idasiak,Hubert Idasiak,84
Marvel,Marvel,100
H. Blank,Jan Oblak,59
B. Waterman,Boy Waterman,87
E. Geerts,Yorbe Vertessen,60
